Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
Amla infused 1 cup of 2 roti with masoor dal sabji,87,1.51,14.01,0.11,Madhura,Ushna,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",2 chapati and a bowl of Sprouted Moong Usal,"Leafy Greens, Whole Grains, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,241,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,108.4,Lunch
Methi Seeds infused 1 paratha of 2 dosa with coconut chutney,33,1.33,6.95,0.27,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Methi Seeds enhances immunity & digestion",1 bowl Vegetable upma,"Leafy Greens, Spices, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Supports Methi Seeds benefits",Helps regulate blood sugar and provides balanced nutrition,331,51,Breakfast,1 medium serving,Consume freshly prepared for best benefits,33.17,Lunch
1 handful of rice,21,0.56,4.56,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Low-fat Dairy, Leafy Greens, Spices","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,125,50,Dinner,1 medium serving,Consume freshly prepared for best benefits,21.65,Dinner
2 idlis of Low-Fat Vegetable Pulao,167,2.89,27.68,3.16,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Pumpkin Paratha,"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,116,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,137.16,Lunch
small plate of 2 Steamed Dhokla,140,3.78,27.8,6.19,Tikta,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,232,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,135.0,Breakfast
1 cup of rice and Beetroot Curry,46,1.59,4.87,1.83,Katu,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with matki sabji ,"Whole Grains, Low-fat Dairy, Legumes","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,304,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,54.95,Breakfast
½ bowl of mixed seeds,45,3.36,5.11,0.39,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"Rich in iron, detoxifies the body, and balances Pitta",1 bowl Oats Idli,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,163,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,37.0,Breakfast
2 bowls of brown rice and sambar,114,2.58,17.11,0.65,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,209,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,117.0,Snack
Ashwagandha infused small plate of 2 dosa with coconut chutney,38,1.22,9.89,0.29,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",1 bowl Vegetable upma,"Leafy Greens, Spices, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,265,51,Breakfast,1 medium serving,Consume freshly prepared for best benefits,36.13,Dinner
Neem infused small plate of 2 mooli paratha,78,7.08,10.9,0.87,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Neem enhances immunity & digestion",1 bowl of vegetable upma,"Vegetables, Whole Grains, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Supports Neem benefits",Helps regulate blood sugar and provides balanced nutrition,269,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,89.1,Snack
Ashwagandha infused ½ bowl of 1 Ragi Mudde with sambar,102,2.48,22.78,0.93,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,347,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,111.64,Snack
Giloy infused 2 idlis of 1 Ragi Mudde with sambar,102,1.95,14.97,1.19,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,256,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,102.04,Snack
2 bowls of 2 roti with paneer burji,36,2.08,6.62,0.23,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of  rice Vegetable Sambar,"Low-fat Dairy, Vegetables, Legumes","Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,206,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,35.63,Breakfast
Methi Seeds infused 2 bowls of rice and vegetable sambar,41,1.57,7.71,0.3,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Methi Seeds enhances immunity & digestion",1 bowl of rice and Broccoli Stir Fry ,"Spices, Whole Grains, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Methi Seeds benefits",Helps regulate blood sugar and provides balanced nutrition,167,30,Lunch,1 medium serving,Consume freshly prepared for best benefits,44.42,Breakfast
2 bowls of 2 roti with paneer sabji,20,0.23,2.58,0.1,Kashaya,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Cabbage Stir-fry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,255,33,Dinner,1 medium serving,Consume freshly prepared for best benefits,17.1,Breakfast
small plate of 2 Besan Chilla,134,5.13,16.87,4.99,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Bitter Gourd Stir Fry ,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,186,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,90.59,Lunch
Tulsi infused 1 handful of Low-Fat Vegetable Pulao,159,3.7,29.46,2.18,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",2 Pumpkin Paratha,"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,147,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,180.37,Beverage
2 bowls of brown rice and palak dal,94,7.09,17.22,0.6,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati witrh Vegetable Korma,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,231,40,Lunch,1 medium serving,Consume freshly prepared for best benefits,94.41,Breakfast
Amla infused 2 bowls of 2 roti with Vegetable Kurma,131,9.32,25.54,0.38,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",2 chapati Green Gram Curry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,244,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,100.94,Breakfast
½ bowl of brown rice and sambar,111,2.65,16.18,0.48,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,251,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,101.61,Dinner
2 bowls of 2 roti and bottle gaurd sabji,26,1.02,7.14,0.16,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,196,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,38.87,Lunch
Neem infused ½ bowl of 4 Khaman Dhokla,156,3.93,16.33,4.93,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Neem enhances immunity & digestion",2 roti with palak sabji ,"Spices, Vegetables, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Supports Neem benefits",Helps regulate blood sugar and provides balanced nutrition,280,30,Dinner,1 medium serving,Consume freshly prepared for best benefits,145.36,Breakfast
Giloy infused small plate of curd,125,4.25,22.11,1.24,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",2 jowar roti Baingan Bharta ,"Vegetables, Low-fat Dairy, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,165,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,109.51,Breakfast
